Количество;Время;Обмены;Итерации;Доп.Присваивания
;;;;
;;;;
BUBBLE;BUBBLE;BUBBLE;BUBBLE;
;;;;
;RAND;;RAND;
;;;;
5000;17;0;200005;195000
6000;14;0;240002;234000
7000;19;0;280003;273000
8000;21;0;320001;312000
9000;19;0;387006;378000
10000;21;0;430005;420000
11000;25;0;473003;462000
12000;25;0;516002;504000
13000;30;0;559005;546000
14000;36;0;602003;588000
15000;33;0;645004;630000
16000;38;0;688001;672000
17000;41;0;782007;765000
18000;53;0;828006;810000
19000;53;0;874006;855000
20000;49;0;920005;900000
21000;54;0;966008;945000
22000;70;0;1012003;990000
23000;59;0;1058004;1035000
24000;61;0;1104002;1080000
25000;75;0;1150006;1125000
26000;71;0;1196005;1170000
27000;80;0;1242004;1215000
28000;84;0;1288003;1260000
29000;75;0;1334006;1305000
30000;82;0;1380004;1350000
31000;81;0;1426005;1395000
32000;94;0;1472001;1440000
33000;97;0;1617008;1584000
34000;105;0;1666007;1632000
35000;99;0;1715007;1680000
36000;106;0;1764006;1728000
37000;114;0;1813009;1776000
38000;124;0;1862006;1824000
;;;;
;REVERSE;;REVERSE;
;;;;
0;0;0;0;0
1000;1;0;31001;30000
2000;2;0;68001;66000
3000;3;0;111002;108000
4000;7;0;148001;144000
5000;10;0;200005;195000
6000;14;0;240002;234000
7000;17;0;280003;273000
8000;15;0;320001;312000
9000;23;0;387006;378000
10000;20;0;430005;420000
11000;23;0;473003;462000
12000;24;0;516002;504000
13000;27;0;559005;546000
14000;34;0;602003;588000
15000;40;0;645004;630000
16000;39;0;688001;672000
17000;42;0;782007;765000
18000;43;0;828006;810000
19000;56;0;874006;855000
20000;50;0;920005;900000
21000;50;0;966008;945000
22000;63;0;1012003;990000
23000;59;0;1058004;1035000
24000;62;0;1104002;1080000
25000;72;0;1150006;1125000
26000;67;0;1196005;1170000
27000;83;0;1242004;1215000
28000;90;0;1288003;1260000
29000;74;0;1334006;1305000
30000;89;0;1380004;1350000
31000;83;0;1426005;1395000
32000;101;0;1472001;1440000
33000;96;0;1617008;1584000
34000;101;0;1666007;1632000
35000;103;0;1715007;1680000
36000;111;0;1764006;1728000
37000;112;0;1813009;1776000
38000;112;0;1862006;1824000
